step,anchor_base,anchor_bear,anchor_bull
1,73.79609744466998,73.73369446832587,73.87005169992987
2,73.84222370255223,73.71739254167359,73.99029882237711
3,73.88837879165645,73.70109421924616,74.11074168545436
4,73.9345627300036,73.68479950024668,74.23138060779202
5,73.98077553562591,73.6685083838785,74.35221590853922
6,74.02701722656687,73.65222086934507,74.47324790736462
7,74.07328782088125,73.63593695585008,74.59447692445721
8,74.11958733663509,73.61965664259735,74.71590328052719
9,74.16591579190576,73.60337992879091,74.83752729680683
10,74.21227320478191,73.58710681363493,74.9593492950513
11,74.25865959336348,73.5708372963338,75.08136959753953
12,74.30507497576173,73.55457137609207,75.2035885270751
13,74.35151937009928,73.53830905211443,75.326006406987
14,74.39799279451002,73.5220503236058,75.44862356113055
15,74.4444952671392,73.50579518977123,75.57144031388827
16,74.49102680614341,73.48954364981597,75.69445699017075
17,74.5375874296906,73.47329570294546,75.81767391541739
18,74.5841771559601,73.45705134836528,75.94109141559737
19,74.6307960031425,73.44081058528123,76.06470981721056
20,74.67744398943987,73.42457341289922,76.18852944728823
21,74.72412113306562,73.4083398304254,76.31255063339405
22,74.77082745224453,73.39210983706606,76.43677370362488
23,74.81756296521277,73.37588343202768,76.56119898661167
24,74.86432769021795,73.35966061451691,76.68582681152031
25,74.91112164551902,73.3434413837406,76.81065750805253
26,74.95794484938641,73.3272257389057,76.93569140644672
27,75.00479732010194,73.31101367921943,77.06092883747891
28,75.05167907595883,73.29480520388913,77.18637013246352
29,75.09859013526179,73.27860031212231,77.31201562325428
30,75.14553051632691,73.2623990031267,77.43786564224514
31,75.1925002374818,73.24620127611017,77.56392052237116
32,75.23949931706545,73.23000713028078,77.69018059710928
33,75.28652777342838,73.21381656484674,77.81664620047933
34,75.33358562493251,73.19762957901646,77.94331766704488
35,75.3806728899513,73.18144617199853,78.07019533191406
36,75.4277895868697,73.16526634300169,78.19727953074056
37,75.47493573408406,73.14909009123487,78.32457059972438
38,75.52211135000232,73.13291741590719,78.45206887561285
39,75.5693164530439,73.1167483162279,78.57977469570145
40,75.61655106163971,73.10058279140647,78.70768839783466
41,75.66381519423223,73.08442084065251,78.835810320407
42,75.71110886927544,73.06826246317586,78.96414080236381
43,75.7584321052348,73.05210765818647,79.09268018320212
44,75.80578492058743,73.0359564248945,79.22142880297166
45,75.85316733382189,73.01980876251025,79.35038700227567
46,75.90057936343834,73.00366467024426,79.47955512227182
47,75.9480210279485,72.9875241473072,79.60893350467316
48,75.99549234587569,72.97138719290989,79.73852249174897
49,76.04299333575477,72.95525380626339,79.86832242632566
50,76.09052401613218,72.93912398657886,79.99833365178772
51,76.13808440556599,72.92299773306772,80.12855651207862
52,76.18567452262583,72.90687504494149,80.25899135170171
53,76.23329438589298,72.89075592141188,80.38963851572109
54,76.28094401396027,72.87464036169081,80.52049834976258
55,76.32862342543223,72.85852836499036,80.65157120001464
56,76.37633263892498,72.84241993052274,80.78285741322925
57,76.42407167306625,72.8263150575004,80.91435733672282
58,76.47184054649544,72.8102137451359,81.04607131837714
59,76.51963927786363,72.79411599264203,81.17799970664032
60,76.56746788583351,72.77802179923175,81.31014285052763
61,76.61532638907943,72.76193116411814,81.4425010996225
62,76.66321480628746,72.7458440865145,81.5750748040774
63,76.71113315615533,72.7297605656343,81.70786431461487
64,76.75908145739245,72.71368060069116,81.8408699825282
65,76.8070597287199,72.69760419089893,81.97409215968267
66,76.85506798887053,72.68153133547155,82.10753119851627
67,76.90310625658883,72.6654620336232,82.2411874520407
68,76.95117455063102,72.64939628456821,82.37506127384232
69,76.9992728897651,72.6333340875211,82.50915301808303
70,77.04740129277072,72.61727544169652,82.64346303950127
71,77.09555977843931,72.60122034630935,82.77799169341291
72,77.14374836557406,72.58516880057459,82.91273933571223
73,77.19196707298988,72.56912080370746,83.04770632287284
74,77.24021591951345,72.55307635492333,83.18289301194861
75,77.28849492398325,72.53703545343775,83.31829976057463
76,77.33680410524946,72.52099809846644,83.45392692696817
77,77.38514348217414,72.5049642892253,83.58977486992961
78,77.43351307363106,72.48893402493037,83.72584394884339
79,77.48191289850583,72.47290730479791,83.86213452367893
80,77.53034297569583,72.45688412804435,83.99864695499168
81,77.5788033241103,72.44086449388627,84.13538160392397
82,77.62729396267024,72.4248484015404,84.272338832206
83,77.67581491030853,72.40883585022371,84.40951900215681
84,77.72436618596987,72.39282683915329,84.54692247668525
85,77.77294780861077,72.37682136754641,84.68454961929088
86,77.82155979719963,72.36081943462057,84.822400794065
87,77.87020217071668,72.34482103959333,84.96047636569159
88,77.91887494815403,72.32882618168253,85.09877669944825
89,77.96757814851564,72.31283486010615,85.23730216120717
90,78.01631179081738,72.29684707408231,85.3760531174362
91,78.06507589408699,72.28086282282933,85.51502993519959
92,78.11387047736407,72.2648821055657,85.65423298215924
93,78.16269555970018,72.2489049215101,85.79366262657548
94,78.21155116015875,72.23293126988136,85.93331923730811
95,78.26043729781513,72.2169611498985,86.07320318381733
96,78.30935399175662,72.20099456078067,86.21331483616481
97,78.3583012610824,72.18503150174723,86.3536545650146
98,78.40727912490365,72.16907197201773,86.49422274163408
99,78.45628760234342,72.15311597081187,86.63501973789505
100,78.5053267125368,72.13716349734949,86.77604592627462
101,78.55439647463075,72.12121455085067,86.9173016798562
102,78.60349690778428,72.10526913053559,87.05878737233056
103,78.65262803116832,72.08932723562467,87.20050337799675
104,78.70178986396581,72.07338886533846,87.34245007176312
105,78.75098242537167,72.0574540188977,87.48462782914828
106,78.80020573459284,72.04152269552327,87.62703702628211
107,78.84945981084819,72.02559489443628,87.76967803990684
108,78.8987446733687,72.00967061485798,87.91255124737786
109,78.94806034139734,71.99374985600979,88.05565702666492
110,78.99740683418906,71.97783261711328,88.19899575635296
111,79.0467841710109,71.96191889739023,88.34256781564324
112,79.09619237114191,71.94600869606259,88.48637358435427
113,79.14563145387324,71.93010201235246,88.63041344292283
114,79.19510143850802,71.91419884548215,88.77468777240502
115,79.24460234436151,71.89829919467407,88.91919695447714
116,79.29413419076101,71.88240305915087,89.06394137143694
117,79.34369699704592,71.86651043813535,89.20892140620434
118,79.39329078256773,71.85062133085049,89.35413744232265
119,79.44291556668999,71.8347357365194,89.4995898639595
120,79.49257136878839,71.81885365436544,89.6452790559079
121,79.54225820825073,71.80297508361205,89.79120540358723
122,79.59197610447688,71.78710002348294,89.93736929304423
123,79.64172507687893,71.77122847320187,90.08377111095407
124,79.69150514488099,71.7553604319929,90.23041124462137
125,79.7413163279194,71.73949589908018,90.37729008198122
126,79.79115864544264,71.72363487368806,90.52440801160016
127,79.84103211691126,71.70777735504103,90.67176542267728
128,79.89093676179809,71.69192334236382,90.81936270504522
129,79.94087259958805,71.67607283488125,90.96720024917117
130,79.99083964977827,71.66022583181838,91.11527844615793
131,80.04083793187809,71.6443823324004,91.26359768774499
132,80.09086746540898,71.62854233585266,91.41215836630946
133,80.14092826990466,71.61270584140073,91.56096087486722
134,80.19102036491107,71.59687284827032,91.71000560707387
135,80.24114376998634,71.5810433556873,91.85929295722583
136,80.29129850470082,71.56521736287776,92.00882332026138
137,80.34148458863709,71.5493948690679,92.15859709176165
138,80.39170204139002,71.53357587348412,92.30861466795173
139,80.44195088256667,71.51776037535302,92.45887644570168
140,80.4922311317864,71.5019483739013,92.6093828225276
141,80.54254280868078,71.48613986835589,92.76013419659272
142,80.5928859328937,71.47033485794388,92.91113096670828
143,80.64326052408128,71.45453334189253,93.06237353233487
144,80.69366660191201,71.43873531942924,93.21386229358322
145,80.74410418606658,71.42294078978163,93.36559765121541
146,80.79457329623801,71.40714975217746,93.51758000664587
147,80.84507395213168,71.39136220584464,93.6698097619425
148,80.89560617346521,71.37557815001132,93.82228731982764
149,80.94616997996862,71.35979758390576,93.97501308367923
150,80.99676539138419,71.34402050675641,94.12798745753182
151,81.04739242746658,71.32824691779189,94.28121084607763
152,81.09805110798278,71.31247681624099,94.43468365466771
153,81.14874145271219,71.29671020133267,94.5884062893129
154,81.19946348144649,71.28094707229606,94.74237915668496
155,81.25021721398979,71.26518742836046,94.89660266411765
156,81.30100267015854,71.24943126875536,95.05107721960778
157,81.35181986978161,71.23367859271038,95.2058032318163
158,81.40266883270023,71.21792939945534,95.36078111006945
159,81.45354957876809,71.20218368822023,95.51601126435969
160,81.50446212785121,71.1864414582352,95.67149410534691
161,81.5554064998281,71.17070270873056,95.82723004435948
162,81.60638271458963,71.15496743893682,95.98321949339537
163,81.65739079203917,71.13923564808465,96.13946286512315
164,81.70843075209245,71.12350733540487,96.2959605728832
165,81.75950261467774,71.10778250012848,96.45271303068868
166,81.81060639973572,71.09206114148667,96.60972065322674
167,81.8617421272195,71.07634325871076,96.76698385585956
168,81.91290981709471,71.06062885103229,96.92450305462543
169,81.96410948933948,71.04491791768294,97.08227866623987
170,82.01534116394433,71.02921045789456,97.2403111080968
171,82.06660486091239,71.01350647089916,97.39860079826951
172,82.11790060025922,70.99780595592895,97.55714815551187
173,82.16922840201292,70.98210891221629,97.71595359925938
174,82.22058828621408,70.9664153389937,97.87501754963036
175,82.27198027291587,70.9507252354939,98.03434042742697
176,82.32340438218395,70.93503860094977,98.19392265413634
177,82.3748606340965,70.91935543459432,98.35376465193175
178,82.42634904874434,70.90367573566078,98.51386684367368
179,82.47786964623076,70.88799950338253,98.67422965291095
180,82.52942244667162,70.87232673699312,98.83485350388183
181,82.58100747019543,70.85665743572626,98.9957388215152
182,82.6326247369432,70.84099159881586,99.15688603143163
183,82.68427426706857,70.82532922549598,99.31829555994453
184,82.73595608073776,70.80967031500082,99.47996783406127
185,82.78767019812963,70.79401486656481,99.64190328148429
186,82.8394166394356,70.77836287942247,99.80410233061228
187,82.89119542485973,70.76271435280859,99.9665654105413
188,82.9430065746187,70.74706928595803,100.12929295106586
189,82.99485010894189,70.7314276781059,100.29228538268013
190,83.04672604807125,70.71578952848743,100.45554313657901
191,83.09863441226142,70.70015483633802,100.61906664465936
192,83.15057522177965,70.68452360089327,100.78285633952103
193,83.20254849690592,70.66889582138892,100.94691265446812
194,83.25455425793287,70.65327149706089,101.11123602351003
195,83.3065925251658,70.63765062714526,101.27582688136269
196,83.35866331892272,70.62203321087831,101.44068566344963
197,83.41076665953435,70.60641924749645,101.60581280590317
198,83.46290256734407,70.59080873623628,101.77120874556562
199,83.51507106270807,70.57520167633456,101.93687391999033
200,83.56727216599515,70.55959806702822,102.10280876744297
201,83.6195058975869,70.54399790755437,102.26901372690259
202,83.6717722778777,70.52840119715027,102.43548923806281
203,83.72407132727454,70.51280793505337,102.602235741333
204,83.77640306619733,70.49721812050127,102.7692536778395
205,83.8287675150786,70.48163175273174,102.9365434894266
206,83.88116469436373,70.46604883098273,103.10410561865794
207,83.93359462451086,70.45046935449236,103.27194050881752
208,83.98605732599094,70.4348933224989,103.44004860391094
209,84.03855281928769,70.4193207342408,103.60843034866657
210,84.09108112489761,70.40375158895668,103.77708618853673
211,84.14364226333007,70.38818588588533,103.94601656969881
212,84.1962362551072,70.3726236242657,104.11522193905651
213,84.24886312076403,70.35706480333691,104.28470274424106
214,84.30152288084832,70.34150942233826,104.45445943361227
215,84.3542155559208,70.3259574805092,104.62449245625989
216,84.40694116655494,70.31040897708938,104.79480226200462
217,84.45969973333715,70.29486391131856,104.96538930139944
218,84.51249127686664,70.27932228243672,105.13625402573075
219,84.56531581775555,70.263784089684,105.30739688701955
220,84.61817337662887,70.24824933230069,105.47881833802263
221,84.67106397412454,70.23271800952725,105.65051883223379
222,84.72398763089328,70.21719012060433,105.82249882388508
223,84.77694436759883,70.20166566477273,105.99475876794793
224,84.82993420491782,70.18614464127342,106.16729912013436
225,84.88295716353977,70.17062704934753,106.34012033689822
226,84.93601326416717,70.15511288823637,106.51322287543643
227,84.98910252751541,70.13960215718143,106.68660719369005
228,85.04222497431289,70.12409485542433,106.8602737503457
229,85.09538062530088,70.1085909822069,107.03422300483656
230,85.1485695012337,70.09309053677111,107.20845541734373
231,85.20179162287859,70.07759351835911,107.38297144879739
232,85.25504701101579,70.0620999262132,107.55777156087805
233,85.30833568643853,70.04660975957584,107.73285621601775
234,85.36165766995302,70.03112301768974,107.90822587740126
235,85.41501298237847,70.01563969979766,108.08388100896734
236,85.46840164454716,70.0001598051426,108.25982207541
237,85.52182367730434,69.98468333296772,108.4360495421796
238,85.57527910150827,69.96921028251633,108.61256387548426
239,85.6287679380303,69.9537406530319,108.78936554229097
240,85.68229020775479,69.9382744437581,108.96645501032681
241,85.73584593157918,69.92281165393875,109.14383274808033
242,85.78943513041396,69.90735228281783,109.32149922480262
243,85.84305782518267,69.89189632963948,109.49945491050865
244,85.89671403682198,69.87644379364804,109.6777002759785
245,85.95040378628157,69.86099467408799,109.85623579275857
246,86.00412709452428,69.84554897020398,110.0350619331629
247,86.05788398252604,69.83010668124085,110.21417917027426
248,86.11167447127586,69.81466780644357,110.39358797794569
249,86.1654985817759,69.79923234505729,110.57328883080143
250,86.21935633504145,69.78380029632736,110.75328220423837
251,86.27324775210093,69.76837165949924,110.93356857442728
252,86.32717285399586,69.7529464338186,111.11414841831403
